Nom,Games,Prices,Cost,Bénéfice,Release,Release Cheat,Statut
Clash Royale Supreme,Clash Royale,€130.00,€59.90,€70.10,1.2.5,1.3,ON
Clash Royale Dominator,Clash Royale,€180.00,€34.00,€146.00,1.2.5,1.2.2,ON
Clash Royale Godmode,Clash Royale,€230.00,€59.90,€170.10,1.2.5,1.1.7,ON
Overwatch 2 Phantom,Overwatch 2,€380.00,€304.00,€76.00,1.3,1.2,ON
Overwatch 2 Dominion,Overwatch 2,€500.00,€404.90,€95.10,1.2.5,1.2,ON
Overwatch 2 Godmode,Overwatch 2,€850.00,€806.40,€43.60,1.2.5,1.6.3,ON
Warzone Reaper,Warzone,€500.00,€404.90,€95.10,1.2.5,1.0.1,ON
Warzone Reaper 2,Warzone,€900.00,€806.40,€93.60,1.2.5,1.0.1,ON
Valorant Oblivion,Valorant,€450.00,€806.40,-€356.40,1.3,1.0,ON
